Object Name,length,height,width,materialNumber,Amount per bin box (LHM C),Stabilität
PAPERBOX 1E 0713 145X96X90 P,145,90,96,9631739,15,1E
PAPERBOX 1E 0713 145X81X92 BL,145,92,81,9031226,24,1E
PAPERBIN 1E 0713 145X96X90 P,145,90,96,56570,20,1E
PAPERBOX 1E 0713 145X135X95 P,145,95,135,141081,8,1E
PAPERBOX 0426 1E 146X77X30,146,30,77,1033073,74,1E
PAPERBOX 1E 0426 146X95X35 BL,146,35,95,9500886,55,1E
BOX 146.1 X 127 X 79.4,1,79,127,162616,,keine
PAPERBOX 0713 1E 145X135X81 P,145,81,135,1030664,17,1E
PAPERBOX 0427 1E 149X53X50 P,149,50,53,1035737,65,1E
PAPERBOX 0427 1E 149X53X66 P,149,66,53,1035738,45,1E
PAPERBOX 0427 1E 149X60X66 P,149,66,60,1035739,40,1E
PAPERBOX 0427 1E 149X69X66 P,149,66,69,1035744,36,1E
PAPERBOX 1E 0426 148X106X30 P,148,30,106,9001197,55,1E
PAPERBOX 0423 1E 148X127X37,148,37,127,1039476,39,1E
PAPERBOX 0426 1E 149X86X35,149,35,86,1033069,55,1E
PAPERBOX 0426 1E 150X142X42,150,42,142,1033063,25,1E
PAPERBOX 0421 1B 150X149X51,150,51,149,1887411,,1B
FALTSCH. 150X151X 54 MM,150,54,151,9036947,20,keine
FALTSCH. 150X151X 63 MM,150,63,151,9051940,18,keine
PAPERBOX 0713 1E 150X105X85 S,150,85,105,9661532,20,1E
FALTSCH. 150X151X 85 5.61ED,150,85,151,9045066,13,keine
B0 DELIVERYBOX 150X140X110,150,110,140,1019879,8,keine
PAPERBOX 1E 0426 151X64X45 P,151,45,64,9500255,58,1E
FALTSCH. 151X127X 53 NEUTRAL,151,53,127,10437,24,keine
PAPERBOX 1E 0426 151X61X61 P,151,61,61,9502897,40,1E
PAPERBOX 1E 0713 145X60X82 BL,145,82,60,166910,32,1E
PAPERBOX 0426 1E 149X86X35 P,149,35,86,1036883,55,1E
PAPERBOX 0426 1E 152X150X42,152,42,150,1033066,45,1E
PAPERBOX 0421 1E 152X108X124 BL,152,124,108,1037329,12,1E
PAPER BOX 154X105X56,154,56,105,9604903,,keine
PAPERBOX 1E 0402A 313X66X47 BL,313,47,66,166979,21,1E
"PAPERBOX 0426 1E 156X141X23,5 P",156,23,141,1032853,49,1E
PAPERBOX 0426 1E 152X150X42 CN,152,42,150,1036674,25,1E
PAPERBOX 0427 1B 155X140X50 BL,155,50,140,1035803,23,1B
PAPERBOX 0427 1B 155X147X58,155,58,147,1040146,,1B
PAPERBOX 1E 0420A 263X66X49 BL,263,49,66,166985,24,1E
PAPERBOX 154X140X82,154,82,140,139874,14,keine
FALTSCH. 155X102X 87 BLANK,155,87,102,9026311,18,keine
PAPERBOX 1E 0426 269X172X80,269,80,172,167602,7,1E
"PAPERBOX 0713 1E 157,5X132X85 P",5,85,132,1020855,16,1E
"PAPERBOX 1E 0426 157X58X21,5 BL",157,21,58,9006012,122,1E
PAPERBOX 0427 1E 157X157X23 P,157,23,157,1033095,42,1E
PAPERBOX 1E 0426 157X117X25 P,157,25,117,141068,48,1E
PAPERBOX 0426 1E 157X142X58 BL,157,58,142,9014907,20,1E
PAPERBOX 0427 1E 158X117X54 BL,158,54,117,1017182,28,1E
PAPERBOX FIX 1E 155X150X30,155,30,150,176101,not LHM,1E
PAPERBOX FIX 1B 160X150X50,160,50,150,176100,not LHM,1B
PAPERBOX 0426 1E 160X132X60,160,60,132,1856976,,1E
INNER CARTONBOX 204X154X66,204,66,154,1110347,,keine
PAPERBOX 0713 1E 160X185X110 BL,160,110,185,1036029,7,1E
FALTSCH. 160X200X120,160,120,200,9688795,,keine
FOLDING BOX 180 X 130 X 135,180,135,130,175550,8,keine
FOLDING BOX 180 X 163 X 135,180,135,163,175551,8,keine
PAPERBOX 0426 1E 160X100X132,160,132,100,1856979,,1E
PAPERBOX 0426 1E 160X105X132 BL,160,132,105,1037951,12,1E
PAPERBOX 161X105X97 P,161,97,105,164958,15,keine
PAPERBOX 1E 0426 162X64X23 P,162,23,64,9500035,104,1E
PAPERBOX 0426 1E 162X121X185 P,162,185,121,1036385,6,1E
PAPER BOX 165X200X87,165,87,200,152368,2,keine
PAPERBOX 0426 1E 163X180X128 BL,163,128,180,1037959,6,1E
PAPERBOX 0427 1E 164X139X73 BL,164,73,139,152740,14,1E
PAPERBOX 0427 1E 167X170X67 P,167,67,170,198792,,1E
PAPERBOX 0427 1B 165X124X70 BL,165,70,124,1031750,18,1B
PAPERBOX 0713 1E 168X126X85 P,168,85,126,1020857,16,1E
paper box 168*126*85,168,85,126,1032457,,keine
CARTON BOX FOR TRIO2 5A,167000,53000,167000,187283,,keine
PAPERBOX 0713 1E 167X90X72 P,167,72,90,1037376,24,1E
PAPERBOX 1E 0713 167X98X79 BL,167,79,98,9636021,20,1E
PAPERBOX 169*100*65 1,169,65,100,9636020,,keine
CARTONBOX FOR QUINT4 CAP1KJ,167000,98000,164000,1109510,,keine
PAPERBOX 0413 1E 168X122X56,168,56,122,1039998,,1E
PAPERBOX 0426 1E 168X126X41.5 P,168,41,126,1033146,32,1E
PAPERBOX 0713 1B 171X93X84 BL,171,84,93,199183,20,1B
L2400 DELIVERYBOX 2400X220X220,2400,220,220,175345,not LHM,keine
PAPERBOX 1E 0400 170X28X158 P,170,158,28,168618,30,1E
